Purchase Amount,Customer Age,Product Category,Payment Method
1263,59,Groceries,Cash
2881,18,Clothing,Credit Card
2990,46,Furniture,Debit Card
110,57,Electronics,Credit Card
1376,42,Electronics,Debit Card
667,19,Electronics,UPI
4902,40,Furniture,Debit Card
3850,29,Clothing,Cash
997,42,Groceries,UPI
2556,41,Electronics,Cash
3849,43,Groceries,Credit Card
4833,64,Electronics,Cash
1436,49,Clothing,Cash
3816,29,Electronics,Cash
4293,47,Groceries,Cash
3635,64,Clothing,Cash
3954,51,Furniture,UPI
1719,22,Groceries,Cash
4288,23,Electronics,Cash
203,58,Electronics,Debit Card
730,36,Groceries,Cash
317,29,Groceries,UPI
1454,52,Furniture,Cash
354,20,Electronics,Cash
4874,29,Clothing,Cash
3094,62,Furniture,Credit Card
3280,21,Furniture,Cash
1238,69,Electronics,UPI
4645,50,Furniture,Debit Card
3297,56,Electronics,Cash
3853,29,Groceries,Cash
4188,46,Groceries,UPI
1872,29,Clothing,Debit Card
1403,18,Furniture,Debit Card
4847,49,Electronics,Cash
3468,69,Electronics,UPI
531,53,Electronics,UPI
4723,20,Clothing,UPI
1308,33,Groceries,Debit Card
1974,47,Furniture,UPI
366,67,Clothing,Debit Card
3705,58,Electronics,Credit Card
4265,41,Furniture,Credit Card
4440,41,Furniture,Credit Card
4327,26,Furniture,UPI
1439,46,Groceries,Debit Card
4171,19,Clothing,Cash
3139,32,Groceries,Credit Card
2763,38,Electronics,Cash
4550,41,Electronics,Credit Card
4208,65,Furniture,Credit Card
4624,20,Furniture,UPI
1019,23,Electronics,Cash
2451,38,Furniture,UPI
3385,51,Clothing,Cash
2564,63,Furniture,Debit Card
159,27,Clothing,Cash
3186,23,Furniture,Cash
4844,32,Groceries,Credit Card
4870,52,Electronics,UPI
467,32,Furniture,UPI
2637,35,Clothing,Cash
3139,25,Electronics,Cash
497,69,Electronics,Credit Card
2881,34,Clothing,UPI
3460,39,Groceries,Debit Card
1292,55,Electronics,Debit Card
4539,50,Groceries,UPI
2951,20,Electronics,Credit Card
1473,51,Clothing,Cash
4187,49,Groceries,UPI
2907,69,Furniture,Debit Card
4263,37,Furniture,Cash
2585,38,Electronics,Cash
4185,54,Furniture,Debit Card
838,52,Groceries,Debit Card
308,56,Furniture,Credit Card
4712,32,Furniture,UPI
2907,19,Furniture,UPI
338,54,Furniture,Debit Card
4513,29,Electronics,UPI
256,34,Furniture,UPI
3607,46,Clothing,Debit Card
4131,22,Clothing,Credit Card
4905,66,Groceries,UPI
2757,69,Clothing,Credit Card
2252,48,Groceries,Credit Card
4914,55,Electronics,Debit Card
3549,64,Furniture,Credit Card
1115,57,Electronics,Cash
215,66,Groceries,Debit Card
697,33,Furniture,Cash
3544,26,Electronics,Cash
2985,47,Electronics,Cash
10,49,Clothing,Debit Card
3742,57,Clothing,Cash
222,52,Clothing,Credit Card
890,63,Clothing,Credit Card
3966,21,Clothing,Credit Card
920,31,Groceries,Cash
